,Date,BottomHolePressure (BARa),SandfacePressureRef|BottomHolePressureRef (BARa),DrainageRegionPressureRef|DrainageRegionPressure (BARa),LiquidProductivityIndex (Sm3/day/bar),GasProductivityIndex (Sm3/day/bar),ProductivityIndexResCond (Rm3/day/bar),WellIndexResCond (Rm3/day/bar),BottomHoleTemperature (deg C),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),HallIntegral (Bar.d),HallVoidageDerivative (Bar.d),HallWaterDerivative (Bar.d),HallGasDerivative (Bar.d),WaterBreakthroughTime (days),GasBreakthroughTime (days),TransitTime (days),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),NPV (MMUS$),
I1,17.01.1996 21:57:52,342.387,344,296.335,62.9375,0,62.9357,479.156,60,2999.87,2999.87,0,0,2385.85,2385.85,0,0,0,0,0,0,958.84,608.647,608.647,0,866.481,1e+06,882.06,0,0,0,0,50743.2,50743.2,0,0,1.66011e+10,2999.99,3000,50745.6,-0.318462,
I1,26.01.1996 14:46:20,355.5,357.12,297.171,50.0411,0,50.0396,230.353,60,2999.87,2999.87,0,0,1604.74,1604.74,0,0,0,0,0,0,1480.41,1256.83,1256.83,0,839.555,1e+06,853.089,0,0,0,0,76843,76843,0,0,2.54737e+10,2999.99,3000,76846.5,-0.481717,
I1,02.02.1996 14:48:37,358.255,359.881,297.432,48.037,0,48.0355,206.685,60,2999.87,2999.87,0,0,1410.97,1410.97,0,0,0,0,0,0,1917.65,1809.49,1809.49,0,822.455,1e+06,848.211,0,0,0,0,97846.8,97846.8,0,0,3.26478e+10,2999.99,3000,97851.3,-0.612827,
I1,12.02.1996 14:48:37,353.196,354.829,297.442,52.2746,0,52.2731,313.931,60,2999.87,2999.87,0,0,1846.86,1846.86,0,0,0,0,0,0,2491.52,2145.95,2145.95,0,827.83,1e+06,853.264,0,0,0,0,127845,127845,0,0,4.27626e+10,2999.99,3000,127851,-0.79967,
I1,21.02.1996 07:33:14,356.201,357.839,297.47,49.6923,0,49.6908,276.715,60,2999.87,2999.87,0,0,1630.51,1630.51,0,0,0,0,0,0,3016.59,2827.16,2827.16,0,812.547,1e+06,853.525,0,0,0,0,153937,153937,0,0,5.167e+10,2999.99,3000,153944,-0.961784,
I1,01.03.1996 03:26:06,358.333,359.977,297.622,48.109,0,48.1076,249.261,60,2999.87,2999.87,0,0,1456.78,1456.78,0,0,0,0,0,0,3567.08,3467.73,3467.73,0,812.107,1e+06,852.58,0,0,0,0,180421,180421,0,0,6.0701e+10,2999.99,3000,180429,-1.12596,
I1,11.03.1996 03:26:06,358.291,359.943,297.738,48.2254,0,48.224,259.757,60,2999.87,2999.87,0,0,1484.97,1484.97,0,0,0,0,0,0,4189.14,4044.27,4044.27,0,798.188,1e+06,856.518,0,0,0,0,210420,210420,0,0,7.0926e+10,2999.99,3000,210429,-1.31146,
I1,21.03.1996 03:26:06,354.798,356.456,297.809,51.1515,0,51.1499,358.585,60,2999.87,2999.87,0,0,1825.53,1825.53,0,0,0,0,0,0,4775.6,4400.39,4400.39,0,799.664,1e+06,855.747,0,0,0,0,240418,240418,0,0,8.11442e+10,2999.99,3000,240429,-1.49649,
I1,31.03.1996 03:26:06,358.759,360.426,297.969,48.031,0,48.0295,252.759,60,2999.87,2999.87,0,0,1494.46,1494.46,0,0,0,0,0,0,5400.17,5311.66,5311.66,0,800.405,1e+06,858.736,0,0,0,0,270417,270417,0,0,9.1386e+10,2999.99,3000,270429,-1.68103,
I1,10.04.1996 03:26:06,354.894,356.568,298.002,51.2224,0,51.2209,349.948,60,2999.87,2999.87,0,0,1844.16,1844.16,0,0,0,0,0,0,5985.83,5566.97,5566.97,0,785.436,1e+06,864.679,0,0,0,0,300416,300416,0,0,1.01554e+11,2999.99,3000,300429,-1.86509,
