Clean water 60degC 3000Sm3
,Date,LiquidProduced (Sm3/day),WaterProduced (Sm3/day),OilProduced (Sm3/day),GasProduced (1000Sm3/d),GOR (Sm3/Sm3),WaterCut (fraction),WaterGasRatio (Sm3/Sm3),CGR (Sm3/Sm3),CumLiquidProduced (Sm3),CumWaterProduced (Sm3),CumOilProduced (Sm3),CumGasProduced (MSm3),LiquidInjected (Sm3/day),WaterInjected (Sm3/day),OilInjected (Sm3/day),GasInjected (1000Sm3/d),CumLiquidInjected (Sm3),CumWaterInjected (Sm3),CumOilInjected (Sm3),CumGasInjected (MSm3),CumHeatInjected (kJ),FracLiquidProduced (Sm3/day),FracWaterProduced (Sm3/day),FracOilProduced (Sm3/day),FracGasProduced (1000Sm3/d),FracLiquidInjected (Sm3/day),FracWaterInjected (Sm3/day),FracOilInjected (Sm3/day),FracGasInjected (1000Sm3/d),DownholeRate (rm3/day),VoidageRate (rm3/day),CumVoidage (rm3),GasLiftRate (1000Sm3/d),DiluentRate (Sm3/day),JetRate (Sm3/day),SurfactantRate (Kg/day),NPV (MMUS$),
Clean water 60degC 3000Sm3,17.01.1996 21:57:52,2400.15,0.000175827,2400.15,4.25328e-13,1.772e-13,7.32567e-08,413410,5.6433e+12,40611,0.00281238,40610.9,7.19664e-15,2999.87,2999.87,0,0,50743.2,50743.2,0,0,1.05347e+10,0,0,0,0,2385.85,2385.85,0,0,-10.2269,0,0,0,0,0,0,14.9739,
Clean water 60degC 3000Sm3,26.01.1996 14:46:20,2399.4,0.000175703,2399.4,4.25195e-13,1.772e-13,7.32278e-08,413247,5.6433e+12,61486.5,0.00434104,61486.5,1.0896e-14,2999.87,2999.87,0,0,76843,76843,0,0,1.6289e+10,0,0,0,0,1604.74,1604.74,0,0,-9.60547,0,0,0,0,0,0,22.6453,
Clean water 60degC 3000Sm3,02.02.1996 14:48:37,2399.21,0.000174265,2399.21,4.25161e-13,1.772e-13,7.26345e-08,409898,5.6433e+12,78284.7,0.00556117,78284.7,1.38728e-14,2999.87,2999.87,0,0,97846.8,97846.8,0,0,2.09539e+10,0,0,0,0,1410.97,1410.97,0,0,-9.42349,0,0,0,0,0,0,28.8056,
Clean water 60degC 3000Sm3,12.02.1996 14:48:37,2399.17,0.000172309,2399.17,4.25155e-13,1.772e-13,7.182e-08,405302,5.6433e+12,102276,0.00728426,102276,1.81243e-14,2999.87,2999.87,0,0,127845,127845,0,0,2.74848e+10,0,0,0,0,1846.86,1846.86,0,0,-9.39399,0,0,0,0,0,0,37.5846,
Clean water 60degC 3000Sm3,21.02.1996 07:33:14,2399.17,0.000171398,2399.17,4.25154e-13,1.772e-13,7.14408e-08,403162,5.6433e+12,123143,0.00877502,123143,2.18222e-14,2999.87,2999.87,0,0,153937,153937,0,0,3.32751e+10,0,0,0,0,1630.51,1630.51,0,0,-9.4415,0,0,0,0,0,0,45.2015,
Clean water 60degC 3000Sm3,01.03.1996 03:26:06,2399.12,0.000170482,2399.12,4.25146e-13,1.772e-13,7.10601e-08,401013,5.6433e+12,144324,0.0102801,144324,2.55755e-14,2999.87,2999.87,0,0,180421,180421,0,0,3.91423e+10,0,0,0,0,1456.78,1456.78,0,0,-9.41107,0,0,0,0,0,0,52.9152,
Clean water 60degC 3000Sm3,11.03.1996 03:26:06,2399.1,0.000169511,2399.1,4.25142e-13,1.772e-13,7.06562e-08,398734,5.6433e+12,168315,0.0119752,168315,2.9827e-14,2999.87,2999.87,0,0,210420,210420,0,0,4.57835e+10,0,0,0,0,1484.97,1484.97,0,0,-9.40051,0,0,0,0,0,0,61.631,
Clean water 60degC 3000Sm3,21.03.1996 03:26:06,2399.09,0.000168655,2399.09,4.2514e-13,1.772e-13,7.02996e-08,396722,5.6433e+12,192306,0.0136617,192305,3.40784e-14,2999.87,2999.87,0,0,240418,240418,0,0,5.24181e+10,0,0,0,0,1825.53,1825.53,0,0,-9.39306,0,0,0,0,0,0,70.3241,
Clean water 60degC 3000Sm3,31.03.1996 03:26:06,2399.08,0.000168119,2399.08,4.25138e-13,1.772e-13,7.00767e-08,395464,5.6433e+12,216296,0.0153429,216296,3.83297e-14,2999.87,2999.87,0,0,270417,270417,0,0,5.90762e+10,0,0,0,0,1494.46,1494.46,0,0,-9.40952,0,0,0,0,0,0,78.9944,
Clean water 60degC 3000Sm3,10.04.1996 03:26:06,2399.06,0.000167455,2399.06,4.25134e-13,1.772e-13,6.98002e-08,393904,5.6433e+12,240287,0.0170175,240287,4.25811e-14,2999.87,2999.87,0,0,300416,300416,0,0,6.56601e+10,0,0,0,0,1844.16,1844.16,0,0,-9.39088,0,0,0,0,0,0,87.6421,
Clean water 60degC 3000Sm3,20.04.1996 03:26:06,2399.05,0.000167202,2399.05,4.25133e-13,1.772e-13,6.9695e-08,393310,5.6433e+12,264277,0.0186895,264277,4.68324e-14,2999.87,2999.87,0,0,330414,330414,0,0,7.232e+10,0,0,0,0,1479.25,1479.25,0,0,-9.42101,0,0,0,0,0,0,96.2673,
Clean water 60degC 3000Sm3,30.04.1996 03:26:06,2399.02,0.000166613,2399.02,4.25129e-13,1.772e-13,6.94504e-08,391930,5.6433e+12,288267,0.0203556,288267,5.10837e-14,2999.87,2999.87,0,0,360413,360413,0,0,7.87539e+10,0,0,0,0,2327.59,2327.59,0,0,-9.38871,0,0,0,0,0,0,104.87,
Clean water 60degC 3000Sm3,10.05.1996 03:26:06,2399.02,0.000167217,2399.02,4.25128e-13,1.772e-13,6.97023e-08,393351,5.6433e+12,312258,0.0220278,312258,5.5335e-14,2999.87,2999.87,0,0,390411,390411,0,0,8.52396e+10,0,0,0,0,2011.94,2011.94,0,0,-9.50082,0,0,0,0,0,0,113.45,
Clean water 60degC 3000Sm3,20.05.1996 03:26:06,2398.92,0.000170697,2398.92,4.25111e-13,1.772e-13,7.11557e-08,401553,5.6433e+12,336247,0.0237348,336247,5.95861e-14,2999.87,2999.87,0,0,420410,420410,0,0,9.169e+10,0,0,0,0,2049.91,2049.91,0,0,-9.77565,0,0,0,0,0,0,122.007,
