frac01
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (psi),
Centre Node(1),09.12.1997 22:12:00,459352,-7.32599e+06,2735,0.203163,386.075,10.065,373.207,1000.26,0.318,0.171043,708.241,0.378137,339.935,11.655,1.13368,55.5623,33.2722,12.8677,46.1399,
Centre Node(1),05.02.1998 14:35:11,459352,-7.32599e+06,2735,0.0145999,386.695,10.0547,383.818,1000.09,0.318,0.104823,2.39161,0.251669,349.508,10.8229,1.96263,44.6939,34.3095,2.87659,37.1861,
Centre Node(1),12.04.1998 23:29:05,459352,-7.32599e+06,2735,3.048e-07,387.256,10.0513,384.736,1000.23,0.318,0.0867732,2.39161,0.318317,349.9,10.6303,2.37484,36.7878,34.8364,2.51953,37.3559,
Centre Node(1),16.08.1998 08:06:27,459352,-7.32599e+06,2735,3.048e-07,369.704,10.048,385.031,999.891,0.318,0.0661685,2.39161,0.270915,356.062,10.4218,3.12029,36.5477,28.9691,-15.3269,13.6422,
Centre Node(1),18.10.1998 00:25:09,459352,-7.32599e+06,2735,0.0196283,358.935,10.0472,354.586,999.02,0.318,0.059019,2.39161,0.253608,328.444,10.331,3.50965,15.9013,26.1427,4.34837,30.4911,
Centre Node(1),19.12.1998 16:43:50,459352,-7.32599e+06,2735,3.048e-07,359.538,10.046,363.972,999.394,0.318,0.0531779,2.39161,0.23897,346.357,10.1943,3.90434,29.5867,17.6145,-4.43427,13.1802,
Centre Node(1),20.02.1999 09:02:31,459352,-7.32599e+06,2735,0.0654113,356.182,10.046,351.254,998.87,0.318,0.0509413,23.6377,0.306383,332.373,10.2413,4.08035,16.3121,18.8811,4.92782,23.8089,
Centre Node(1),25.06.1999 17:39:53,459352,-7.32599e+06,2735,3.048e-07,356.823,10.0454,358.075,999.279,0.318,0.047726,2.39161,0.213626,345.413,10.1879,4.36182,23.9339,12.6622,-1.25206,11.4101,
Centre Node(1),27.08.1999 09:58:34,459352,-7.32599e+06,2735,0.0611455,348.962,10.0461,344.596,998.538,0.318,0.0454833,19.3081,0.253291,331.773,10.2773,4.58259,12.1052,12.8234,4.36582,17.1892,
Centre Node(1),30.12.1999 18:35:56,459352,-7.32599e+06,2735,3.048e-07,346.141,10.0458,349.588,998.802,0.318,0.0437597,2.39161,0.205237,341.446,10.2272,4.76739,17.4866,8.14196,-3.44711,4.69484,
Centre Node(1),06.09.2000 11:50:41,459352,-7.32599e+06,2735,0.233762,352.457,10.0458,344.958,998.529,0.318,0.0420014,1078.87,0.0488517,337.201,10.2886,4.97238,9.44804,7.75672,7.49942,15.2561,
Centre Node(1),09.01.2001 20:28:03,459352,-7.32599e+06,2735,3.048e-07,357.064,10.0446,355.522,999.055,0.318,0.037812,2.39161,0.149205,349.83,10.2275,5.53701,15.0515,5.69248,1.54212,7.2346,
Centre Node(1),13.03.2001 12:46:44,459352,-7.32599e+06,2735,0.0120971,356.622,10.0443,354.848,998.893,0.318,0.0369852,2.39161,0.0795952,345.34,10.2559,5.66429,10.4831,9.50854,1.7738,11.2823,
Centre Node(1),15.05.2001 05:05:26,459352,-7.32599e+06,2735,3.048e-07,357.873,10.0439,358.476,999.033,0.318,0.0363807,2.39161,0.164569,349.439,10.2206,5.76072,11.5569,9.03685,-0.603314,8.43353,
Centre Node(1),17.09.2001 13:42:48,459352,-7.32599e+06,2735,3.048e-07,359.578,10.0436,359.131,999.025,0.318,0.0358769,2.39161,0.108665,348.804,10.2158,5.84359,9.90427,10.3269,0.44658,10.7734,
Centre Node(1),20.01.2002 22:20:10,459352,-7.32599e+06,2735,3.048e-07,361.355,10.043,361.758,999.11,0.318,0.0347939,2.39161,0.136498,350.695,10.1917,6.02965,11.5023,11.0628,-0.40253,10.6602,
Centre Node(1),26.05.2002 06:57:32,459352,-7.32599e+06,2735,3.048e-07,362.868,10.0425,364.125,999.179,0.318,0.033819,2.39161,0.151089,351.681,10.184,6.20725,11.8582,12.4443,-1.25682,11.1875,
Centre Node(1),28.09.2002 15:34:55,459352,-7.32599e+06,2735,3.048e-07,363.865,10.0422,365.508,999.229,0.318,0.0330033,2.39161,0.118395,351.177,10.1936,6.36387,12.0343,14.3314,-1.64288,12.6885,
Centre Node(1),30.11.2002 07:53:36,459352,-7.32599e+06,2735,3.048e-07,364.545,10.0418,367.193,999.262,0.318,0.0321458,2.39161,0.178793,351.841,10.187,6.53685,12.4601,15.3515,-2.64796,12.7035,
Centre Node(1),01.02.2003 00:12:17,459352,-7.32599e+06,2735,3.048e-07,363.627,10.0417,367.714,999.322,0.318,0.0317612,2.39161,0.15142,351.19,10.1908,6.61741,12.7751,16.5245,-4.08718,12.4373,
Centre Node(1),04.04.2003 16:30:58,459352,-7.32599e+06,2735,3.048e-07,365.695,10.0416,368.613,999.379,0.318,0.0313672,2.39161,0.184146,351.767,10.188,6.70203,12.449,16.8459,-2.91809,13.9278,
Centre Node(1),06.06.2003 08:49:39,459352,-7.32599e+06,2735,3.048e-07,365.727,10.0414,369.026,999.322,0.318,0.0309654,2.39161,0.18378,351.64,10.1843,6.7904,13.493,17.3859,-3.29888,14.087,
Centre Node(1),09.10.2003 17:27:02,459352,-7.32599e+06,2735,3.048e-07,365.504,10.0413,369.403,999.384,0.318,0.0305869,2.39161,0.197575,351.087,10.1856,6.87576,13.7367,18.3158,-3.89881,14.417,
Centre Node(1),16.06.2004 10:41:46,459352,-7.32599e+06,2735,3.048e-07,366.158,10.0409,370.272,999.336,0.318,0.0298311,2.39161,0.1477,350.997,10.1814,7.05265,13.933,19.2749,-4.11468,15.1602,
Centre Node(1),19.10.2004 19:19:08,459352,-7.32599e+06,2735,3.048e-07,366.217,10.0402,371.358,999.34,0.318,0.0284053,2.39161,0.13999,349.952,10.1761,7.41172,14.6994,21.4053,-5.14031,16.265,
Centre Node(1),27.06.2005 12:33:53,459352,-7.32599e+06,2735,3.048e-07,366.277,10.0399,371.973,999.343,0.318,0.0277035,2.39161,0.137228,349.601,10.1697,7.60194,15.9773,22.372,-5.69557,16.6764,
Centre Node(1),10.11.2006 23:03:22,459352,-7.32599e+06,2735,3.048e-07,366.061,10.0392,372.701,999.332,0.318,0.0263759,2.39161,0.123303,348.552,10.163,7.98935,16.6566,24.1483,-6.6394,17.5089,
Centre Node(1),01.12.2006,459352,-7.32599e+06,2735,3.048e-07,365.274,10.0381,373.945,999.534,0.318,0.0241579,2.39161,0.192062,346.399,10.1611,8.73137,17.3607,27.5455,-8.6708,18.8747,
Centre Node(1),01.12.2006,459352,-7.32599e+06,2735,3.048e-07,365.274,10.0381,373.945,999.534,0.318,0.0241579,2.39161,0.192062,346.399,10.1611,8.73137,17.3607,27.5455,-8.6708,18.8747,
,Date,XCoord (feet),YCoord (feet),ZCoord (feet),Width (inches),Pressure (psia),Temperature (deg F),Stress (psia),Density (lb/ft3),Viscosity (centipoise),LeakoffMobility (ft/day/psi),Conductivity (D.ft),Velocity (ft/sec),ResPressure (psia),ResTemperature (deg F),FiltrateThickness (inches),FiltratePressureDrop (psi),EffectiveResStress (psi),EffectiveFracStress (psi),LeakoffPressureDrop (psi)
Internal Node(2),09.12.1997 22:12:00,459353,-7.32599e+06,2737.75,0.214692,386.349,10.0776,374.548,1000.28,0.318,0.21136,835.779,0.558425,337.235,12.5731,0.922452,54.0624,37.313,11.8009,49.1139,
Internal Node(2),05.02.1998 14:35:11,459353,-7.32599e+06,2737.86,0.0319557,387.372,10.0603,384.308,1000.09,0.318,0.129537,2.75609,0.541816,348.331,10.3126,1.61019,45.5135,35.977,3.06492,39.0419,
Internal Node(2),12.04.1998 23:29:05,459353,-7.32599e+06,2738.03,3.048e-07,388.008,10.0582,385.821,1000.27,0.318,0.108826,2.39161,0.49317,349.584,10.1468,1.93867,37.6044,36.2375,2.18693,38.4245,
Internal Node(2),16.08.1998 08:06:27,459353,-7.32599e+06,2738.3,3.048e-07,370.483,10.0526,386.439,999.891,0.318,0.0845194,2.39161,0.406183,356.281,10.0775,2.57414,37.3057,30.158,-15.9554,14.2026,
Internal Node(2),18.10.1998 00:25:09,459353,-7.32599e+06,2738.3,0.0182279,359.713,10.0741,356.566,999.055,0.318,0.0746502,2.39161,0.399063,328.906,10.1393,2.96712,15.9965,27.6602,3.14687,30.807,
Internal Node(2),19.12.1998 16:43:50,459353,-7.32599e+06,2738.33,3.048e-07,360.336,10.061,365.606,999.394,0.318,0.0671088,2.39161,0.368173,346.769,10.0958,3.33974,29.969,18.8364,-5.27016,13.5663,
Internal Node(2),20.02.1999 09:02:31,459353,-7.32599e+06,2738.33,0.0710909,356.625,10.0673,352.812,998.891,0.318,0.0640904,30.3451,0.996201,332.811,10.1162,3.51536,16.5686,20.0016,3.81265,23.8142,
Internal Node(2),25.06.1999 17:39:53,459353,-7.32599e+06,2738.92,3.048e-07,357.721,10.061,359.7,999.279,0.318,0.0638275,2.39161,0.315588,345.977,10.0927,3.64514,24.146,13.7224,-1.97916,11.7433,
Internal Node(2),27.08.1999 09:58:34,459353,-7.32599e+06,2738.81,0.0782147,349.424,10.0703,345.63,998.56,0.318,0.0597016,40.4121,0.727501,332.462,10.1199,3.92288,12.1594,13.168,3.7936,16.9616,
Internal Node(2),30.12.1999 18:35:56,459353,-7.32599e+06,2739.39,3.048e-07,347.193,10.0651,350.662,998.805,0.318,0.0610211,2.39161,0.29857,342.381,10.0999,3.98693,17.3417,8.28087,-3.46939,4.81148,
Internal Node(2),06.09.2000 11:50:41,459353,-7.32599e+06,2739.8,0.277512,352.929,10.0729,345.603,998.554,0.318,0.0609499,1805.07,0.135766,338.059,10.1169,4.13238,9.50737,7.54346,7.32628,14.8697,
Internal Node(2),09.01.2001 20:28:03,459353,-7.32599e+06,2741.59,0.0396045,358.254,10.0657,355.523,999.085,0.318,0.0230041,5.24662,0.34556,351.154,10.0858,4.37345,14.6214,4.36935,2.73073,7.10008,
Internal Node(2),13.03.2001 12:46:44,459353,-7.32599e+06,2741.59,0.0566387,357.527,10.0666,354.265,998.935,0.318,0.0224112,15.3457,0.562818,347.103,10.0941,4.50831,10.016,7.16273,3.26135,10.4241,
Internal Node(2),15.05.2001 05:05:26,459353,-7.32599e+06,2741.59,3.048e-07,359.226,10.0635,357.708,999.073,0.318,0.0220002,2.39161,0.22552,351.123,10.0854,4.60247,10.3723,6.5851,1.51844,8.10353,
Internal Node(2),17.09.2001 13:42:48,459353,-7.32599e+06,2741.59,0.0424055,360.574,10.0628,357.976,999.078,0.318,0.021655,6.44038,0.3058,350.31,10.0832,4.68512,9.11852,7.6661,2.59823,10.2643,
Internal Node(2),20.01.2002 22:20:10,459353,-7.32599e+06,2742.44,0.0313943,362.603,10.0595,360.213,999.172,0.318,0.023673,2.61336,0.198526,352.488,10.0707,4.6921,10.5297,7.72522,2.38994,10.1152,
Internal Node(2),26.05.2002 06:57:32,459353,-7.32598e+06,2743.23,0.0230018,364.297,10.0579,361.973,999.249,0.318,0.0260991,2.39161,0.18688,353.636,10.0622,4.70192,10.8756,8.33745,2.324,10.6614,
Internal Node(2),28.09.2002 15:34:55,459353,-7.32598e+06,2743.24,0.026665,364.901,10.0585,362.816,999.278,0.318,0.0253968,2.39161,0.106679,352.999,10.0622,4.85586,11.1937,9.81749,2.08447,11.902,
Internal Node(2),30.11.2002 07:53:36,459354,-7.32598e+06,2743.87,0.00374847,365.745,10.0576,363.976,999.318,0.318,0.0276662,2.39161,0.131835,353.784,10.0568,4.89136,11.4124,10.1914,1.7688,11.9602,
Internal Node(2),01.02.2003 00:12:17,459354,-7.32598e+06,2743.87,3.048e-07,365.294,10.0577,364.169,999.354,0.318,0.0272634,2.39161,0.211069,353.073,10.0567,4.97084,11.9067,11.096,1.12519,12.2212,
Internal Node(2),04.04.2003 16:30:58,459354,-7.32598e+06,2743.87,0.00668589,366.522,10.0574,364.961,999.416,0.318,0.0268508,2.39161,0.0940554,353.672,10.0564,5.05491,11.7302,11.2894,1.56095,12.8504,
Internal Node(2),06.06.2003 08:49:39,459354,-7.32598e+06,2744.01,3.048e-07,366.441,10.0567,365.159,999.354,0.318,0.0271479,2.39161,0.0772942,353.566,10.0548,5.11187,12.4465,11.593,1.28255,12.8755,
Internal Node(2),09.10.2003 17:27:02,459354,-7.32598e+06,2744.01,3.048e-07,366.367,10.0566,365.269,999.421,0.318,0.0267513,2.39161,0.107006,352.973,10.0547,5.19413,12.6547,12.2962,1.09801,13.3942,
Internal Node(2),16.06.2004 10:41:46,459354,-7.32598e+06,2744.01,3.048e-07,366.765,10.0559,365.862,999.364,0.318,0.0259631,2.39161,0.0480474,352.899,10.0542,5.36529,12.9325,12.9628,0.903322,13.8661,
Internal Node(2),19.10.2004 19:19:08,459354,-7.32598e+06,2744.01,3.048e-07,366.786,10.0547,366.328,999.366,0.318,0.0245119,2.39161,0.0418185,351.835,10.0533,5.7077,13.5434,14.4925,0.458457,14.951,
Internal Node(2),27.06.2005 12:33:53,459354,-7.32598e+06,2744.01,3.048e-07,366.833,10.0536,366.641,999.368,0.318,0.0238104,2.39161,0.0398264,351.491,10.0521,5.88781,14.7958,15.1499,0.19203,15.3419,
